beta1,ReX3_knl0,ImX3_knl0,absX3_knl0,absX1_knl0,ReX3_knlON,ImX3_knlON,absX3_knlON,absX1_knlON
2.459999999999999964e-01,-2.847658500275370482e-03,-1.963840764718704709e-04,2.854422120094062421e-03,2.880564920279123919e-01,-9.994122944254506594e-05,-7.701479871621857935e-06,1.002375285743839245e-04,2.922137112088467603e-01
2.469999999999999973e-01,-2.858058560126294865e-03,-1.970735883717602774e-04,2.864844975272643098e-03,2.880400769084909274e-01,-1.126298893226747284e-04,-8.676835000361234559e-06,1.129636199599740731e-04,2.921954824992770705e-01
2.479999999999999982e-01,-2.868449994208312377e-03,-1.977623542597973410e-04,2.875259174063452255e-03,2.880236683684337939e-01,-1.253073699081916001e-04,-9.650783054324784340e-06,1.256784570515965735e-04,2.921772621990024743e-01
2.489999999999999991e-01,-2.878832812277383382e-03,-1.984503755737505653e-04,2.885664726299690987e-03,2.880072664015772554e-01,-1.379736850315452170e-04,-1.062332653793775147e-05,1.383820538506192941e-04,2.921590502989274696e-01
2.500000000000000000e-01,-2.889207024074043513e-03,-1.991376537486314838e-04,2.896061641798962187e-03,2.879908710017669016e-01,-1.506288485009143682e-04,-1.159446795014435528e-05,1.510744243336983167e-04,2.921408467899726524e-01
2.510000000000000009e-01,-2.899572639323492584e-03,-1.998241902167185188e-04,2.906449930363358587e-03,2.879744821628577589e-01,-1.632728741003549547e-04,-1.256420978452824346e-05,1.637555824529349972e-04,2.921226516630741621e-01
2.520000000000000018e-01,-2.909929667735596318e-03,-2.005099864075785302e-04,2.916829601779467093e-03,2.879580998787139579e-01,-1.759057755897932261e-04,-1.353255452933765227e-05,1.764255421358715606e-04,2.921044649091837919e-01
2.600000000000000089e-01,-2.992477929035653860e-03,-2.059698766101797016e-04,2.999557925067680361e-03,2.878272768438722151e-01,-2.765701628314262564e-04,-2.122931408208782145e-05,2.773837391502925916e-04,2.919592712257270684e-01
2.700000000000000178e-01,-3.094898808263293975e-03,-2.127293440407097011e-04,3.102201219651224903e-03,2.876643326892761587e-01,-4.014113231490327701e-04,-3.072666234071428113e-05,4.025856159015837031e-04,2.917785249016064952e-01
2.800000000000000266e-01,-3.196479153164817968e-03,-2.194174469981785601e-04,3.204001091239588091e-03,2.875020325344381789e-01,-5.251657467358668979e-04,-4.008892469395236287e-05,5.266936333655060452e-04,2.915985989923947641e-01
2.900000000000000355e-01,-3.297228307939608846e-03,-2.260355505607535627e-04,3.304966956687403670e-03,2.873403704648888057e-01,-6.478466205602705866e-04,-4.931846212390200246e-05,6.497211359326630431e-04,2.914194848225457601e-01
3.000000000000000444e-01,-3.397155472523266835e-03,-2.325849945626411815e-04,3.405108087005533427e-03,2.871793406534111082e-01,-7.694669063945801680e-04,-5.841758597620136547e-05,7.716812388465411508e-04,2.912411738627241342e-01
3.099999999999999978e-01,-3.496269705459350858e-03,-2.390670942118992479e-04,3.504433610278234138e-03,2.870189373582702763e-01,-8.900393457904634499e-04,-6.738855926709285456e-05,8.925868332970247074e-04,2.910636577264458236e-01
3.200000000000000067e-01,-3.594579926700581379e-03,-2.454831406905307934e-04,3.602952514508350398e-03,2.868591549214867253e-01,-1.009576464917138084e-03,-7.623359795000882958e-05,1.012450591372729023e-03,2.908869281668150508e-01
3.300000000000000155e-01,-3.692094920341331288e-03,-2.518344017379520292e-04,3.700673650392448909e-03,2.866999877671540520e-01,-1.128090579266462700e-03,-8.495487214281394141e-05,1.131284970876279741e-03,2.907109770733545262e-01
