omega,beta1,kappa,abs_X3,abs_X1,is_fold
1.140100555793174042e+00,2.822881633214107122e-01,5.124297539491776687e-01,1.374992881253766605e-25,1.525257007552223376e+00,0.000000000000000000e+00
1.136159649027732366e+00,2.823848889856633848e-01,5.046262742003700952e-01,3.518021665549883179e-25,1.513454325595056771e+00,0.000000000000000000e+00
1.132208414706935118e+00,2.824823736532280360e-01,4.968627760113897840e-01,4.626696083673701315e-25,1.501620747786532872e+00,0.000000000000000000e+00
1.128246617851499156e+00,2.825806152138831129e-01,4.891397690446325774e-01,4.657547547428755295e-25,1.489756330317674848e+00,0.000000000000000000e+00
1.124274010245363664e+00,2.826796109984436867e-01,4.814577677981348169e-01,2.826621057581343736e-25,1.477861136344136073e+00,0.000000000000000000e+00
1.120290329695414977e+00,2.827793577448546314e-01,4.738172916550627001e-01,1.915520339376256014e-25,1.465935236315385914e+00,0.000000000000000000e+00
1.116295299248075246e+00,2.828798515623464072e-01,4.662188649350823555e-01,5.111821293324540516e-25,1.453978708322143154e+00,0.000000000000000000e+00
1.112288626360067756e+00,2.829810878935460905e-01,4.586630169478409513e-01,1.514632006679085595e-25,1.441991638463365533e+00,0.000000000000000000e+00
1.108270002020463663e+00,2.830830614743839457e-01,4.511502820487863774e-01,2.035270612154258064e-25,1.429974121234239615e+00,0.000000000000000000e+00
1.104239099820952807e+00,2.831857662916707485e-01,4.436811996976041117e-01,5.753798622421680896e-25,1.417926259936713507e+00,0.000000000000000000e+00
1.100195574971048362e+00,2.832891955381767191e-01,4.362563145195610392e-01,3.025967228456837160e-25,1.405848167114277958e+00,0.000000000000000000e+00
1.096139063254726320e+00,2.833933415650377596e-01,4.288761763700814633e-01,3.465629298660166587e-25,1.393739965012840587e+00,0.000000000000000000e+00
1.092069179924764821e+00,2.834981958313118611e-01,4.215413404029196842e-01,1.903221684062966713e-25,1.381601786069712956e+00,0.000000000000000000e+00
1.087985518530787177e+00,2.836037488504693505e-01,4.142523671423207765e-01,1.196338928560252837e-25,1.369433773432910950e+00,0.000000000000000000e+00
1.083887649676757103e+00,2.837099901336131991e-01,4.070098225596163743e-01,3.751650149482267528e-25,1.357236081513175430e+00,0.000000000000000000e+00
1.079775119703369590e+00,2.838169081291652684e-01,3.998142781547298630e-01,8.049655724245223013e-25,1.345008876571350154e+00,0.000000000000000000e+00
1.075647449290491497e+00,2.839244901587776870e-01,3.926663110431369841e-01,1.878252647797716127e-25,1.332752337343989790e+00,0.000000000000000000e+00
1.071504131974468921e+00,2.840327223491622144e-01,3.855665040488635009e-01,2.519747633381150358e-25,1.320466655710365256e+00,0.000000000000000000e+00
1.067344632574779295e+00,2.841415895595410523e-01,3.785154458041802839e-01,7.507303764724093651e-26,1.308152037404313406e+00,0.000000000000000000e+00
1.063168385524129400e+00,2.842510753043515637e-01,3.715137308567090790e-01,3.331061853099698466e-25,1.295808702774740029e+00,0.000000000000000000e+00
1.058974793095723843e+00,2.843611616708444645e-01,3.645619597847404303e-01,2.117778834855394167e-25,1.283436887598929932e+00,0.000000000000000000e+00
1.054763223521002713e+00,2.844718292311472774e-01,3.576607393216404418e-01,4.892842300995584846e-25,1.271036843953250228e+00,0.000000000000000000e+00
1.050533008990720774e+00,2.845830569483298045e-01,3.508106824903164944e-01,4.230713644909133204e-25,1.258608841146277246e+00,0.000000000000000000e+00
1.046283443531785373e+00,2.846948220759824566e-01,3.440124087488196092e-01,1.480058097654886241e-25,1.246153166719876859e+00,0.000000000000000000e+00
1.042013780751777974e+00,2.848071000507250705e-01,3.372665441482656234e-01,3.612279801355135172e-25,1.233670127524340687e+00,0.000000000000000000e+00
1.037723231442599925e+00,2.849198643770405881e-01,3.305737215043887400e-01,2.969149833662517045e-25,1.221160050874284142e+00,0.000000000000000000e+00
1.033410961034147757e+00,2.850330865037505323e-01,3.239345805841790660e-01,1.902799872111136355e-25,1.208623285792704172e+00,0.000000000000000000e+00
1.029076086888392361e+00,2.851467356913581219e-01,3.173497683092064703e-01,1.078624809944590720e-25,1.196060204351357736e+00,0.000000000000000000e+00
1.024717675423687302e+00,2.852607788694345170e-01,3.108199389774087273e-01,1.402368778947453860e-25,1.183471203116452486e+00,0.000000000000000000e+00
1.020334739058559093e+00,2.853751804831012873e-01,3.043457545053069868e-01,1.252961639446376981e-25,1.170856704709591689e+00,0.000000000000000000e+00
1.015926232963673126e+00,2.854899023275599967e-01,2.979278846928232194e-01,8.684914862087276048e-26,1.158217159494935311e+00,0.000000000000000000e+00
1.011491051610112102e+00,2.856049033695234329e-01,2.915670075131079342e-01,1.518329223458535478e-25,1.145553047404694436e+00,0.000000000000000000e+00
1.007028025101549540e+00,2.857201395542367517e-01,2.852638094300442573e-01,1.550107091408678744e-25,1.132864879916345213e+00,0.000000000000000000e+00
1.002535915277385170e+00,2.858355635966410846e-01,2.790189857463806766e-01,9.262047175932064449e-26,1.120153202196358055e+00,0.000000000000000000e+00
9.980134115734429212e-01,2.859511247550791113e-01,2.728332409857639473e-01,2.661375729337045217e-26,1.107418595426785224e+00,0.000000000000000000e+00
9.934591266264143350e-01,2.860667685856884690e-01,2.667072893122943711e-01,2.157050317289079311e-25,1.094661679332785909e+00,0.000000000000000000e+00
9.888715916079262591e-01,2.861824366754959215e-01,2.606418549916187377e-01,3.485874682828197030e-25,1.081883114931048606e+00,0.000000000000000000e+00
9.842492512739142718e-01,2.862980663518904234e-01,2.546376728980068727e-01,2.756657191291729927e-25,1.069083607521182255e+00,0.000000000000000000e+00
9.795904587149653064e-01,2.864135903659312810e-01,2.486954890723377387e-01,1.297775395760919287e-27,1.056263909944431756e+00,0.000000000000000000e+00
9.748934697934807936e-01,2.865289365466000548e-01,2.428160613364511167e-01,1.184138051219948797e-25,1.043424826136618799e+00,0.000000000000000000e+00
9.701564372539834835e-01,2.866440274227454732e-01,2.370001599699060046e-01,1.717341048453921294e-25,1.030567215004955406e+00,0.000000000000000000e+00
9.653774044937056820e-01,2.867587798090692752e-01,2.312485684558311105e-01,3.443613819709420525e-25,1.017691994661410027e+00,0.000000000000000000e+00
9.605542989818615096e-01,2.868731043520121315e-01,2.255620843032689060e-01,2.193507840123847903e-25,1.004800147048564574e+00,0.000000000000000000e+00
9.556849253178156811e-01,2.869869050308913594e-01,2.199415199541910892e-01,2.149123804237431656e-25,9.918927229974454640e-01,0.000000000000000000e+00
9.507669579208576360e-01,2.871000786090245338e-01,2.143877037842255029e-01,3.822191610882539953e-25,9.789708477605993941e-01,0.000000000000000000e+00
9.457979333476308481e-01,2.872125140288842582e-01,2.089014812070737193e-01,2.960408224597274454e-25,9.660357270677164543e-01,0.000000000000000000e+00
