force,omega,beta1,abs_X1,abs_X3
2.577832197218398735e-01,2.567014641206876169e-01,2.349615004926882134e-01,2.508306701071441602e-01,1.010739081275795720e-24
2.579103386846964274e-01,2.568067706492944136e-01,2.349425031652180584e-01,2.509679383149082121e-01,1.380681140985549760e-24
2.583195206951879874e-01,2.569841188986845548e-01,2.349271719844822637e-01,2.513890110050128190e-01,1.221802984958166485e-26
2.595380629438251985e-01,2.572713385685510001e-01,2.349503524333701465e-01,2.526121343167784805e-01,3.988950119236838731e-27
2.630722229243159238e-01,2.577333113060565895e-01,2.351273335823263200e-01,2.561127278062769741e-01,1.489358738976544571e-27
2.701772869269038480e-01,2.582962983860123130e-01,2.356060597309126980e-01,2.631056393930987225e-01,4.369349726759382571e-25
2.772935362557487071e-01,2.587093306505322543e-01,2.361533646639406014e-01,2.700923157456764367e-01,3.688951728453471604e-26
2.844130972161315607e-01,2.590592154306553541e-01,2.367440006408837727e-01,2.770757663926407544e-01,1.342593031294742596e-26
2.898838363950763108e-01,2.593044163910196986e-01,2.372218413265364811e-01,2.824398572682216280e-01,3.584201917267505633e-28
2.937914810512076147e-01,2.594715570392086557e-01,2.375747538848118623e-01,2.862707779040126188e-01,6.249992704041137625e-24
2.965825506301115744e-01,2.595880074291874173e-01,2.378324761458990855e-01,2.890069052290608620e-01,1.371284982608555200e-23
2.985760915451807773e-01,2.596700153742781403e-01,2.380193698613665698e-01,2.909611704792635645e-01,1.691648076052305911e-24
2.999999999999999889e-01,2.597280970367745745e-01,2.381542763447576927e-01,2.923570214800639833e-01,1.027833651627700630e-17
3.014238624022927970e-01,2.597858253819856356e-01,2.382903472334381711e-01,2.937528309319697439e-01,4.654862537665647202e-25
3.034171846894504476e-01,2.598661430352671720e-01,2.384827862787734232e-01,2.957068980068520703e-01,1.177165387289780738e-23
3.062076508994847068e-01,2.599778136736005107e-01,2.387559683472515182e-01,2.984424702292578502e-01,4.010834763295814147e-23
